,main,backdoor
1,4.94,0.12
2,4.94,0.12
3,4.94,0.12
4,4.94,0.12
5,4.94,0.12
6,4.94,0.12
7,4.94,0.12
8,4.94,0.12
9,4.94,0.12
10,4.94,0.12
11,4.94,0.12
12,4.94,0.12
13,4.94,0.12
14,4.94,0.12
15,4.94,0.12
16,4.94,0.12
17,4.94,0.12
18,4.94,0.12
19,4.94,0.12
20,4.94,0.12
21,4.94,0.12
22,4.94,0.12
23,4.94,0.12
24,4.94,0.12
25,4.94,0.12
26,4.94,0.12
27,4.94,0.12
28,4.94,0.12
29,4.94,0.12
30,4.94,0.12
